Kingdom	Phylum	Class	Order	Family	Genus	Species	id
Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia sp.	MYb416
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Candidatus Hemobacterium	""	unknown
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp.	MYb398
Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium sp.	MYb382
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia billingiae	MYb121
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescence	MYb115
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter guillouiae	MYb10
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	""	MYb176,MYb174
Bacteria	Bacteroidota	Bacteroidia	""	""	""	""	unknown
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium scophthalmum	JUb44
Bacteria	Bacteroidota	Bacteroidia	""	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia sp.	MYb416
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter albidus	MYb596
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia sp.	MYb416
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Bacteroidota	Bacteroidia	""	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lelliottia	Lelliottia amnigena	JUb66
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia billingiae	MYb121
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter cerinus	MYb595
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	MYb191,MYb177
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Soonwooa	""	unknown
Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Soonwooa	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	MYb191,MYb177
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Haematobacter	""	unknown
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Soonwooa	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas molluscorum	JUb134
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	MYb191,MYb177
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	MYb158
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	""	unknown
Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	""	""	unknown
Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	""	unknown
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Dolosigranulum	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Soonwooa	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	""	unknown
Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	""	""	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Kinneretia	""	unknown
Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	""	unknown
Bacteria	Chloroflexi	KD4-96	""	""	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	""	""	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	""	unknown
Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Siccibacter	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	""	MYb371,MYb331,MYb330,MYb177
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	MYb158
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	""	unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	""	unknown
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	""	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Daeguia	""	unknown
Bacteria	Bacteroidota	Bacteroidia	""	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	""	""	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	""	unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shimwellia	""	unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Mogibacterium	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Daeguia	""	unknown
Bacteria	Myxococcota	Polyangia	Polyangiales	Phaselicystidaceae	Phaselicystis	""	unknown
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] torques group	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Thermobispora	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	""	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Kinneretia	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Knoellia	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	""	unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	""	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	""	unknown
Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	""	unknown
Bacteria	Firmicutes	Clostridia	""	""	""	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	""	""	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	""	unknown
Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	""	unknown
Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Jeotgalicoccus	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Daeguia	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Frederiksenia	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	""	""	""	unknown
Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Nosocomiicoccus	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Haematobacter	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	""	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Paramesorhizobium	""	unknown
Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	""	""	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	""	unknown
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	""	unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Falsochrobactrum	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Croceitalea	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	""	unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	""	unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	""	unknown
Bacteria	Spirochaetota	Brevinematia	Brevinematales	Brevinemataceae	Brevinema	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	""	""	unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	""	unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola	""	unknown
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	""	""	""	unknown
Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	""	unknown
