cmp,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,id,name,hierarchy,subsystem
substrate vs. host,12001.4850426419,-0.274264426234345,0.107458515953883,-2.55228190897452,0.0107019887023826,0.0367398168854989,|CATECHOL-ORTHO-CLEAVAGE-PWY|,catechol degradation to &beta;-ketoadipate,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|,|Catechol-Degradation|",metabolism
substrate vs. host,18146.3360457617,0.150401399073163,0.0537963727694965,2.79575353003062,0.00517788715983133,0.0203810452035914,|CHOLINE-BETAINE-ANA-PWY|,choline degradation I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AMINE-DEG|,|Choline-Degradation|",metabolism
substrate vs. host,9082.34800350259,0.636934402290502,0.114243480272417,5.57523633534021,2.47194042588437e-08,1.71490867045728e-06,|DARABITOLUTIL-PWY|,D-arabitol degradation,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|SECONDARY-METABOLITE-DEGRADATION|,|Sugar-Derivatives|,|SUGAR-ALCOHOLS-DEG|",metabolism
substrate vs. host,4673.11242389924,0.578061956288245,0.0910924236145511,6.34588403020496,2.21151786580259e-10,6.13696207760218e-08,|DHGLUCONATE-PYR-CAT-PWY|,glucose degradation (oxidative),"|Carbohydrates-Degradation|,|Sugars-And-Polysaccharides-Degradation|,|SECONDARY-METABOLITE-DEGRADATION|,|Sugar-Derivatives|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CARBOXYLATES-DEG|,|SUGAR-ACIDS-DEG|",metabolism
substrate vs. host,11315.8090563763,0.283747006952838,0.106793333728425,2.65697302487444,0.00788457516684773,0.0293550516600345,|DTDPRHAMSYN-PWY|,dTDP-&beta;-L-rhamnose biosynthesis,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Carbohydrates-Biosynthesis|,|CARBO-BIOSYNTHESIS|,|SUGAR-NUCLEOTIDES|,|dTDP-Sugar-Biosynthesis|",metabolism
substrate vs. host,7995.19503813987,0.456589509440791,0.0972493829590476,4.69503759867622,2.66557690720895e-06,5.47924142037395e-05,|ENTNER-DOUDOROFF-PWY|,Entner-Doudoroff shunt,"|Degradation|,|Carbohydrates-Degradation|,|Sugars-And-Polysaccharides-Degradation|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Entner-Duodoroff-Pathways|",metabolism
substrate vs. host,4593.60016881316,-0.694150349513267,0.163338922689285,-4.24975467013292,2.14004773735215e-05,0.00027837339708526,|ETHYL-PWY|,ethene biosynthesis I (plants),"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|SECONDARY-METABOLITE-BIOSYNTHESIS|,|HORMONE-SYN|,|Plant-Hormone-Biosynthesis|,|Ethylene-Biosynthesis|",metabolism
substrate vs. host,5910.29072120251,0.513405812189759,0.0880111529815192,5.83341763853004,5.43034179643809e-09,8.21956281006311e-07,|GALACTARDEG-PWY|,D-galactarate degradation I,"|SECONDARY-METABOLITE-DEGRADATION|,|Sugar-Derivatives|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CARBOXYLATES-DEG|,|SUGAR-ACIDS-DEG|,|D-Galactarate-Degradation|",metabolism
substrate vs. host,7256.39095570866,0.512764276373885,0.100357465508499,5.10937849791014,3.23220268183813e-07,9.78475902774634e-06,|GALACTCAT-PWY|,D-galactonate degradation,"|SECONDARY-METABOLITE-DEGRADATION|,|Sugar-Derivatives|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CARBOXYLATES-DEG|,|SUGAR-ACIDS-DEG|",metabolism
substrate vs. host,8706.48360924355,0.601539858042929,0.12136167217539,4.95658841263817,7.17417291840511e-07,1.95744467781153e-05,|GALACTUROCAT-PWY|,D-galacturonate degradation I,"|SECONDARY-METABOLITE-DEGRADATION|,|Sugar-Derivatives|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CARBOXYLATES-DEG|,|SUGAR-ACIDS-DEG|,|D-Galacturonate-Degradation|",metabolism
substrate vs. host,3077.74334291468,0.296885868030233,0.0972008049599554,3.05435606374395,0.00225544214824416,0.0117353474275829,|GALLATE-DEGRADATION-II-PWY|,gallate degradation I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|,|GALLATE-DEG|",metabolism
substrate vs. host,5222.57793473269,0.365747924683107,0.091827043024772,3.98300884614611,6.80482216183288e-05,0.000632962508349259,|GLUCARDEG-PWY|,D-glucarate degradation I,"|SECONDARY-METABOLITE-DEGRADATION|,|Sugar-Derivatives|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CARBOXYLATES-DEG|,|SUGAR-ACIDS-DEG|,|D-Glucarate-Degradation|",metabolism
substrate vs. host,14539.1767508543,0.269229691539962,0.0889234481061046,3.02765690348302,0.00246457731529272,0.0123626844454733,|GLYCINE-SYN2-PWY|,glycine biosynthesis II,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|GLYCINE-SYN|",metabolism
substrate vs. host,14539.1767508543,0.269229691539962,0.0889234481061046,3.02765690348302,0.00246457731529272,0.0123626844454733,|GLYCLEAV-PWY|,glycine cleavage,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Amino-Acid-Degradation|,|Proteinogenic-Amino-Acids-Degradation|,|GLYCINE-DEG|",metabolism
substrate vs. host,20252.8909950241,0.139706670226213,0.0461583532704199,3.02668228668683,0.00247253688909466,0.0123626844454733,|GLYOXYLATE-BYPASS|,glyoxylate cycle,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|",metabolism
substrate vs. host,20478.9762048951,-0.100585869973475,0.0250352694188864,-4.01776662717252,5.87523403704614e-05,0.000588226132329665,|HEME-BIOSYNTHESIS-II|,heme b biosynthesis I (aerobic),"|Tetrapyrrole-Biosynthesis|,|Porphyrin-Compounds-Biosynthesis|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Cofactor-Biosynthesis|,|Enzyme-Cofactor-Biosynthesis|,|HEME-SYN|,|Heme-b-Biosynthesis|",metabolism
substrate vs. host,20478.9762048951,-0.100585869973475,0.0250352694188864,-4.01776662717252,5.87523403704614e-05,0.000588226132329665,|HOMOSER-METSYN-PWY|,L-methionine biosynthesis I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|METHIONINE-SYN|,|Methionine-De-novo-Biosynthesis|",metabolism
substrate vs. host,3177.27582886761,0.625491044382663,0.0844414298215988,7.4073952289078,1.28804168529462e-13,7.14863135338515e-11,|HYDROXYPRODEG-PWY|,trans-4-hydroxy-L-proline degradation I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Amino-Acid-Degradation|,|MISCELLANEOUS-DEG|,|Hydroxyprolines-Degradation|",metabolism
substrate vs. host,4192.50409355657,-0.565865966482841,0.20084245370943,-2.81746192615985,0.00484048533161246,0.0194202604268307,|LACTOSEUTIL-PWY|,lactose degradation II,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Carbohydrates-Degradation|,|Sugars-And-Polysaccharides-Degradation|,|LACTOSE-DEG|",metabolism
substrate vs. host,10536.5801576929,-0.434050475533122,0.145506662486211,-2.9830281865908,0.00285411708277064,0.0132370611220421,|LIPAS-PWY|,triacylglycerol degradation,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Fatty-Acid-and-Lipid-Degradation|",metabolism
substrate vs. host,6913.75411137155,-0.447104947306343,0.123656825497755,-3.61569161675156,0.000299546803853916,0.00233058611409706,|LIPASYN-PWY|,phospholipases,"|Metabolic-Clusters|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Fatty-Acid-and-Lipid-Degradation|",metabolism
substrate vs. host,2384.09052639248,0.637338916003945,0.252325775976583,2.5258573506303,0.0115416334748727,0.0392179994605367,|LYSINE-AMINOAD-PWY|,L-lysine biosynthesis IV,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|LYSINE-SYN|",metabolism
substrate vs. host,959.337023233223,0.965915005238051,0.176128558348641,5.4841475697885,4.15467856737505e-08,1.73530642138652e-06,|METHYLGALLATE-DEGRADATION-PWY|,methylgallate degradation,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|",metabolism
substrate vs. host,20066.7803670016,-0.0947843508526628,0.026210127523924,-3.61632543627062,0.000298814665473618,0.00233058611409706,|MGLDLCTANA-PWY|,methylglyoxal degradation VI,"|Detoxification|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Aldehyde-Degradation|,|Methylglyoxal-Detoxification|",metabolism
substrate vs. host,20478.9762048951,-0.100585869973475,0.0250352694188864,-4.01776662717252,5.87523403704614e-05,0.000588226132329665,|NONMEVIPP-PWY|,methylerythritol phosphate pathway I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|SECONDARY-METABOLITE-BIOSYNTHESIS|,|Terpenoid-Biosynthesis|,|ISOPRENOIDS|,|Isopentenyl-Diphosphate-Biosynthesis|,|MEP-Pathways|",metabolism
substrate vs. host,20524.9914439737,-0.114645669064428,0.0278044695563417,-4.12328200802806,3.73511941378138e-05,0.000428894746479034,|NONOXIPENT-PWY|,pentose phosphate pathway (non-oxidative branch) I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Pentose-Phosphate-Cycle|",metabolism
substrate vs. host,2283.05584975501,1.11311243477971,0.182212251461025,6.10887811250058,1.00333914757671e-09,2.38651382959317e-07,|NOPALINEDEG-PWY|,nopaline degradation,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|SECONDARY-METABOLITE-DEGRADATION|,|N-CONTAINING-SECONDARY-CMPD-DEG|",metabolism
substrate vs. host,2090.0034701572,1.28251777105656,0.189208957642066,6.77831423543249,1.21586177104563e-11,5.06102462197743e-09,|OCTOPINEDEG-PWY|,octopine degradation,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|SECONDARY-METABOLITE-DEGRADATION|,|N-CONTAINING-SECONDARY-CMPD-DEG|",metabolism
substrate vs. host,3085.87833209815,0.883141117419709,0.212756030807941,4.15095691560884,3.31088093288786e-05,0.000388212447412555,|ORN-AMINOPENTANOATE-CAT-PWY|,L-ornithine degradation I (L-proline biosynthesis),"|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|PROLINE-SYN|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Amino-Acid-Degradation|,|MISCELLANEOUS-DEG|",metabolism
substrate vs. host,8106.02244299135,0.698663126503974,0.141044297640697,4.95350140481242,7.28898318464353e-07,1.95744467781153e-05,|OXIDATIVEPENT-PWY|,pentose phosphate pathway (oxidative branch) I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Pentose-Phosphate-Cycle|",metabolism
substrate vs. host,5549.09188521438,0.427264524723299,0.154186666169304,2.77108608246411,0.00558696544282775,0.0217419590949384,|P122-PWY|,heterolactic fermentation,"|Pyruvate-Degradation|,|Alcohol-Biosynthesis|,|Pyruvate-Ethanol-Fermentation|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Fermentation|,|Fermentation-to-Acids|,|Fermentation-to-Lactate|",metabolism
substrate vs. host,1693.87929007135,0.852488509396378,0.1433390542997,5.94735687047267,2.72506865937121e-09,5.67154914731632e-07,|P161-PWY|,acetylene degradation (anaerobic),"|Pyruvate-Degradation|,|Alcohol-Biosynthesis|,|Pyruvate-Ethanol-Fermentation|,|Energy-Metabolism|,|Fermentation|,|Fermentation-to-Acids|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CARBOXYLATES-DEG|,|Acetate-Formation|",metabolism
substrate vs. host,959.337023233223,0.965915005238051,0.176128558348641,5.4841475697885,4.15467856737505e-08,1.73530642138652e-06,|P184-PWY|,protocatechuate degradation I (meta-cleavage pathway),"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|,|Protocatechuate-Degradation|",metabolism
substrate vs. host,20524.9914439737,-0.114645669064428,0.0278044695563417,-4.12328200802806,3.73511941378138e-05,0.000428894746479034,|P21-PWY|,pentose phosphate pathway (partial),"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Pentose-Phosphate-Cycle|",metabolism
substrate vs. host,7746.62500356502,0.47337907278881,0.0973449532560446,4.86290307771467,1.15676497243575e-06,2.83237305750812e-05,|P282-PWY|,nitrite oxidation,"|Electron-Transfer|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|CHEMOAUTOTROPHIC-ENERGY-METABOLISM|",metabolism
substrate vs. host,406.869878527315,0.983683872234246,0.226748609418895,4.33821347242306,1.43645598243974e-05,0.000208067545730049,|P302-PWY|,L-sorbose degradation,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Carbohydrates-Degradation|,|Sugars-And-Polysaccharides-Degradation|",metabolism
substrate vs. host,658.433083641936,1.68588213868006,0.308393122849748,5.46666580337927,4.58579474720763e-08,1.73530642138652e-06,|P483-PWY|,phosphonoacetate degradation,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Noncarbon-Nutrients|,|Phosphorus-Compounds|,|Phophonate-Metabolism|,|Phosphonate-Degradation|",metabolism
substrate vs. host,5840.38208566419,0.817023002419909,0.202972910161004,4.02528101790443,5.69073157124454e-05,0.000588226132329665,|P562-PWY|,myo-inositol degradation I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|SECONDARY-METABOLITE-DEGRADATION|,|Sugar-Derivatives|,|SUGAR-ALCOHOLS-DEG|",metabolism
substrate vs. host,959.337023233223,0.965915005238051,0.176128558348641,5.4841475697885,4.15467856737505e-08,1.73530642138652e-06,|P621-PWY|,nylon-6 oligomer degradation,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Other-Degradation|",metabolism
substrate vs. host,2256.67753499423,0.43172622683447,0.0938023741198554,4.60250852801267,4.17432465107474e-06,7.898011981863e-05,|PCPDEG-PWY|,pentachlorophenol degradation,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CHLORINATED-COMPOUNDS-DEG|",metabolism
substrate vs. host,8110.85522691595,-0.41133777863708,0.12591889772393,-3.26668821020744,0.00108813450318211,0.00633476904824549,|PHOSPHONOTASE-PWY|,2-aminoethylphosphonate degradation I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Noncarbon-Nutrients|,|Phosphorus-Compounds|,|Phophonate-Metabolism|,|Phosphonate-Degradation|,|2-Aminoethylphosphonate-Degradation|",metabolism
substrate vs. host,7995.19503813987,0.456589509440791,0.0972493829590476,4.69503759867622,2.66557690720895e-06,5.47924142037395e-05,|PLPSAL-PWY|,pyridoxal 5'-phosphate salvage I,"|Vitamin-Biosynthesis|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Cofactor-Biosynthesis|,|Enzyme-Cofactor-Biosynthesis|,|Vitamin-B6-Biosynthesis|",metabolism
substrate vs. host,2033.81302097596,0.789503112157487,0.299102157407025,2.63957678875286,0.00830096154657027,0.0295934143583832,|PROPIONMET-PWY|,propanoyl CoA degradation I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CARBOXYLATES-DEG|,|Propionate-Degradation|",metabolism
substrate vs. host,10825.8088301334,-0.410849741957162,0.133037228770287,-3.08823136015986,0.00201351646760644,0.0106167155709825,|PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY|,protocatechuate degradation II (ortho-cleavage pathway),"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|,|Protocatechuate-Degradation|",metabolism
substrate vs. host,5195.99626692233,0.353224513041946,0.125595140995002,2.81240588006509,0.00491724118394578,0.0196335888999274,|PWY0-1221|,putrescine degradation II,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AMINE-DEG|,|Putrescine-Degradation|",metabolism
substrate vs. host,3618.25496183449,0.518535777362565,0.140280174284818,3.69642952046634,0.000218652923869666,0.00176726756428638,|PWY0-1261|,anhydromuropeptides recycling I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|SECONDARY-METABOLITE-DEGRADATION|,|Sugar-Derivatives|,|Anhydromuropeptides-Recycling|",metabolism
substrate vs. host,5961.38201716391,0.31183933139805,0.0905131406872592,3.44523821657583,0.000570556325684036,0.00384605782293085,|PWY0-1299|,arginine dependent acid resistance,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Detoxification|,|Acid-Resistance|",metabolism
substrate vs. host,492.371784998079,0.869514302711563,0.219603870668372,3.95946710804853,7.51171887817442e-05,0.000683443274981443,|PWY0-1300|,2-O-&alpha;-mannosyl-D-glycerate degradation,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Carbohydrates-Degradation|,|Sugars-And-Polysaccharides-Degradation|",metabolism
substrate vs. host,3618.25496183449,0.518535777362565,0.140280174284818,3.69642952046634,0.000218652923869666,0.00176726756428638,|PWY0-1355|,formate to trimethylamine N-oxide electron transfer,"|Electron-Transfer|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Respiration|,|ANAEROBIC-RESPIRATION|",metabolism
substrate vs. host,4577.59198506771,0.644893249670445,0.125909065480273,5.12189688018519,3.02477302008013e-07,9.68509053544888e-06,|PWY0-1356|,formate to dimethyl sulfoxide electron transfer,"|Electron-Transfer|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Respiration|,|ANAEROBIC-RESPIRATION|",metabolism
substrate vs. host,19515.0689381757,0.154780693193495,0.0509864511697511,3.03572203286277,0.00239960473338064,0.0123626844454733,|PWY0-1391|,S-methyl-5'-thioadenosine degradation IV,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|NUCLEO-DEG|,|Methylthioadenosine-Degradation|",metabolism
substrate vs. host,11719.4785271458,-0.288292419420352,0.115913944863454,-2.48712456262237,0.0128780299898556,0.0430591712409844,|PWY0-1477|,ethanolamine utilization,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AMINE-DEG|",metabolism
substrate vs. host,6952.75586052095,0.382390941893493,0.108265001735969,3.53199035479673,0.000412444398722392,0.00289755242140414,|PWY0-1527|,curcumin degradation,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|SECONDARY-METABOLITE-DEGRADATION|",metabolism
substrate vs. host,3959.35728104701,0.601576948541387,0.175708589731104,3.42371963409422,0.000617703134245019,0.0040638452479128,|PWY0-1533|,methylphosphonate degradation I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Noncarbon-Nutrients|,|Phosphorus-Compounds|,|Phophonate-Metabolism|,|Phosphonate-Degradation|,|Methylphosphonate-Degradation|",metabolism
substrate vs. host,5551.04042287941,0.605660898350421,0.145032157964173,4.17604555329058,2.96620444376502e-05,0.000368561970064832,|PWY0-1573|,nitrate reduction VIIIb (dissimilatory),"|Degradation|,|Noncarbon-Nutrients|,|NITROGEN-DEG|,|Nitrate-Reduction|,|Electron-Transfer|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Respiration|,|ANAEROBIC-RESPIRATION|",metabolism
substrate vs. host,1616.4771882162,0.460329416783083,0.17453713965653,2.63742959056714,0.00835369654560967,0.0295934143583832,|PWY0-1581|,nitrate reduction IX (dissimilatory),"|Degradation|,|Noncarbon-Nutrients|,|NITROGEN-DEG|,|Nitrate-Reduction|,|Electron-Transfer|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Respiration|,|ANAEROBIC-RESPIRATION|",metabolism
substrate vs. host,1616.4771882162,0.460329416783083,0.17453713965653,2.63742959056714,0.00835369654560967,0.0295934143583832,|PWY0-1582|,glycerol-3-phosphate to fumarate electron transfer,"|Electron-Transfer|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Respiration|,|ANAEROBIC-RESPIRATION|",metabolism
substrate vs. host,1616.4771882162,0.460329416783083,0.17453713965653,2.63742959056714,0.00835369654560967,0.0295934143583832,|PWY0-1602|,D-gulosides conversion to D-glucosides,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Carbohydrates-Degradation|,|Sugars-And-Polysaccharides-Degradation|",metabolism
substrate vs. host,801.438856852927,0.559475352979574,0.190690413677647,2.93394587692982,0.00334682563152808,0.0145883200763158,|PWY0-301|,"L-ascorbate degradation I (bacterial, anaerobic)","|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CARBOXYLATES-DEG|,|Ascorbate-Degradation|",metabolism
substrate vs. host,7995.19503813987,0.456589509440791,0.0972493829590476,4.69503759867622,2.66557690720895e-06,5.47924142037395e-05,|PWY0-862|,(5Z)-dodecenoate biosynthesis I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Lipid-Biosynthesis|,|Fatty-acid-biosynthesis|,|Unsaturated-Fatty-Acids-Biosynthesis|,|5Z-Dodec-5-enoate-Biosynthesis|",metabolism
